Tên sản phẩm,Giá bán cũ,Giá mới,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Độ phân giải màn hình,Loại CPU,Công nghệ - Tiện ích,Tiện ích khác,Thời điểm ra mắt,Công nghệ âm thanh,Tương thích,Loại màn hình,Cảm biến,Hệ thống làm mát
iPhone 14 Pro Max 128GB - Cũ Trầy Xước,21.590.000đ,29.990.000đ,6.7 inches,Super Retina XDR OLED,ProMotion 120Hz,120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF
Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)","Quay phim Cinematic, Chế độ ProRes, Quay phim Dolby Vision HDR","Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF","4K@24/25/30/60fps, 1080p@25/30/60/120fps, Chống rung điện tử",Apple A16 Bionic 6-core,Apple GPU (5-core graphics),6 GB,128 GB,Không,4.352 mAh,"Sạc nhanh PD 2.0 30W (30 phút sạc được 50%)
Sạc không dây MagSafe 15W
Sạc không dây chuẩn Qi 7.5W",Lightning,2 SIM (nano‑SIM và eSIM),iOS 16,Không,Không,Có,5G,"Wi-Fi MIMO, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot","v5.3, A2DP, LE","BEIDOU, GALILEO, GPS, QZSS, iBeacon, GLONASS",160.7 x 77.6 x 7.9 mm,240 gr,Kính,Kim loại,IP68,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,,,,,,,,,
Samsung Galaxy Z Fold5 12GB 256GB - Đã Kích Hoạt,23.290.000đ,40.990.000đ,7.6 inches,Dynamic AMOLED 2X,"Màn hình chính rộng: 7,6 inch, 21.6:18, Dynamic AMOLED 2X, 1-120Hz, Hỗ trợ S Pen
Màn hình ngoài rộng: 6,2 inch, HD+ (2316 x 904), Dynamic AMOLED 2X, 23.1:9, 48-120Hz
Độ sáng tối đa: 1750 nits Mặt kính cảm ứng Chính: Ultra Thin Glass & Phụ: Corning",120Hz,Màn hình gập,"Camera siêu rộng: 12MP F2.2, 123°, 1.12μm
Camera góc rộng: 50MP, F1.8, Dual Pixel AF, OIS, 2.0μm
Camera Tele: 10 MP, F2.4, PDAF, OIS, 1.0μm, zoom 3X, zoom kỹ thuật số 30X",8K 4320p@30fps,"Zoom quang học
Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
FlexCam
Zoom kỹ thuật số","Camera bên ngoài:10 MP, f/2.2
Camera bên trong: 4 MP, F1.8",,Snapdragon 8 Gen 2 for Galaxy (4nm) 8 nhân,Adreno 740,12 GB,256 GB,không hỗ trợ thẻ nhớ,4.400 mAh,"Sạc tối đa 25W
Sạc không dây
Sạc ngược không dây
Sạc pin nhanh
Tiết kiệm pin",USB Type-C,2 SIM (nano‑SIM và eSIM),"Android 13, One UI 5.1",Không,Không,Có,5G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax
Wi-Fi MIMO",v5.3,"GLONASS
GPS
GALILEO
QZSS
BEIDOU","Mở: 154.9 x 129.9 x 6.1mm
Gập: 154.9 x 67.1 x 13.4mm",253g,Kính,Nhôm,IPX8,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2176 x 1812 pixels (QXGA+),"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","Chạm 2 lần tắt/sáng màn hình
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Âm thanh AKG","Ghi âm mặc định, Ghi âm cuộc gọi",7/2023,,,,,
Samsung Galaxy Z Flip5 256GB - Đã Kích Hoạt,12.590.000đ,25.990.000đ,6.7 inches,Dynamic AMOLED 2X,"Màn hình trong: Dynamic AMOLED 2X, FHD+ (2640 x 1080 Pixels), 120 Hz, Ultra Thin Glass, độ sáng tối đa 1000nits
Màn hình phụ: 3.4"" (720x748) Super AMOLED, 60Hz, 306ppi, Corning Gorilla Glass Victus 2",120Hz,Màn hình gập,"Camera siêu rộng: 12MP, F2.2, 123°, 1.12 μm, FF
Camera chính: 12MP, F1.8, Dual Pixel, 1.8μm, OIS",4K 2160p@60fps,"Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
FlexCam
Zoom kỹ thuật số","10MP, F2.4, 1.22μm",,Snapdragon 8 Gen 2 for Galaxy,Adreno 740,8 GB,256 GB,không hỗ trợ thẻ nhớ,3700 mAh,"Sạc tối đa: 25W
Sạc không dây
Sạc pin nhanh
Tiết kiệm pin",USB Type-C,2 SIM (nano‑SIM và eSIM),Android 13,,,Có,5G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax
Wi-Fi MIMO",v5.3,"GLONASS, GPS, GALILEO, QZSS, BEIDOU","Mở: 165.1 x 71.9 x 6.9mm
Gập: 85.1 x 71.9 x 15.1mm",187g,Kính,Kim loại,IPX8,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",1080 x 2640 pixels,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","Flex Window, Đa Tiện Ích, Nâng Tầm Cá Nhân Hóa Giao Diện",,07/2023,Âm thanh Dolby Atmos,,,,
iPhone 15 Pro Max 256GB - Cũ Đẹp,26.690.000đ,34.990.000đ,6.7 inches,Super Retina XDR OLED,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",,,"Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8
Camera Tele 2x: 12 MP, 48 mm, ƒ/1.78","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Flash True Tone Thích Ứng
Photonic Engine
Deep Fusion
HDR thông minh thế hệ 5
Ảnh chân dung thế hệ mới với Focus và Depth Control
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Chế độ Ban Đêm","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",A17 Pro,GPU 6 nhân mới,,256 GB,Không,,"Sạc nhanh
Sạc không dây 15W
Sạc không dây Qi 7.5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6E (802.11ax),5.3,"GPS tần số kép chính xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)","159,9 x 76,7 x 8,25 mm",221 g,Kính,Titanium,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực",,2796 x 1290-pixel,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,"SOS Khẩn Cấp
Phát Hiện Va Chạm",9/2023,"AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby Atmos",,,,
iPhone 14 Pro Max 128GB - Cũ Đẹp,22.590.000đ,29.990.000đ,6.7 inches,Super Retina XDR OLED,ProMotion 120Hz,120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF
Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)","Quay phim Cinematic, Chế độ ProRes, Quay phim Dolby Vision HDR","Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF","4K@24/25/30/60fps, 1080p@25/30/60/120fps, Chống rung điện tử",Apple A16 Bionic 6-core,Apple GPU (5-core graphics),6 GB,128 GB,Không,4.352 mAh,"Sạc nhanh PD 2.0 30W (30 phút sạc được 50%)
Sạc không dây MagSafe 15W
Sạc không dây chuẩn Qi 7.5W",Lightning,2 SIM (nano‑SIM và eSIM),iOS 16,Không,Không,Có,5G,"Wi-Fi MIMO, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot","v5.3, A2DP, LE","BEIDOU, GALILEO, GPS, QZSS, iBeacon, GLONASS",160.7 x 77.6 x 7.9 mm,240 gr,Kính,Kim loại,IP68,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,,,,,,,,,
Samsung Galaxy Z Flip5 512GB - Cũ Đẹp,12.690.000đ,,6.7 inches,Dynamic AMOLED 2X,"Màn hình trong: Dynamic AMOLED 2X, FHD+ (2640 x 1080 Pixels), 120 Hz, Ultra Thin Glass, độ sáng tối đa 1000nits
Màn hình phụ: 3.4"" (720x748) Super AMOLED, 60Hz, 306ppi, Corning Gorilla Glass Victus 2",,,"Camera siêu rộng: 12MP, F2.2, 123°, 1.12 μm, FF
Camera chính: 12MP, F1.8, Dual Pixel, 1.8μm, OIS",4K 2160p@60fps,"Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
FlexCam
Zoom kỹ thuật số","10MP, F2.4, 1.22μm",,Snapdragon 8 Gen 2 for Galaxy,Adreno 740,8 GB,512 GB,không hỗ trợ thẻ nhớ,3700 mAh,"Sạc tối đa: 25W
Sạc không dây
Sạc pin nhanh
Tiết kiệm pin",USB Type-C,Nano-SIM + eSIM,Android 13,,Không,Có,5G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax
Wi-Fi MIMO",v5.3,"GLONASS, GPS, GALILEO, QZSS, BEIDOU","Mở: 165.1 x 71.9 x 6.9mm
Gập: 85.1 x 71.9 x 15.1mm",187g,Kính,Kim loại,IPX8,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn",,1080 x 2640 pixels,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","Flex Window Đa Tiện Ích, Nâng Tầm Cá Nhân Hóa Giao Diện",,07/2023,Âm thanh Dolby Atmos,,,,
iPhone 13 Pro Max 128GB - Cũ đẹp,17.290.000đ,31.990.000đ,6.7 inches,OLED,"120Hz, Super Retina XDR với ProMotion 6.1‑inch, OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch",120Hz,Tai thỏ,"Camera góc rộng: 12MP, ƒ/1.5
Camera góc siêu rộng: 12MP, ƒ/1.8
Camera tele : 12MP, /2.8","4K @24 fps/25 fps/30 fps/ 60 fps
1080p HD @25 fps/30 fps/60 fps
720p HD@ 30 fps","Chạm lấy nét
HDR
Nhận diện khuôn mặt
Quay chậm (Slow Motion)
Toàn cảnh (Panorama)
Tự động lấy nét (AF)
Xóa phông
Nhãn dán (AR Stickers)
Nhận diện khuôn mặt","12MP, ƒ/2.2",,Apple A15,GPU 5 nhân,6 GB,256 GB,,"4,325mAh","Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin",Lightning,2 SIM (nano‑SIM và eSIM),iOS15,,Không,Có,5G,WiFi 6E,v5.0,"GPS, GLONASS, Galileo, QZSS, and BeiDou",160.8 x 78.1 x 7.65mm,240g,Kính,Kim loại,IP68,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2778 x 1284 pixel,,,,,,,,,
iPhone 14 Pro Max 256GB - Cũ Trầy Xước,22.590.000đ,32.990.000đ,6.7 inches,Super Retina XDR OLED,"120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits",120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 48 MP, f/1.8, 24mm, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚
Camera tele: 12 MP, f/2.8, 77mm, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)","Quay phim Cinematic, Chế độ ProRes, Quay phim Dolby Vision HDR","Camera selfie: 12 MP, f/1.9, 23mm, PDAF","4K@24/25/30/60fps, 1080p@25/30/60/120fps, Chống rung điện tử",Apple A16 Bionic 6 nhân,Apple GPU 5 nhân,,256 GB,Không,,"Sạc nhanh 20W
Sạc không dây MagSafe 15W
Sạc không dây Qi 7,5W",Lightning,2 SIM (nano‑SIM và eSIM),iOS 16,Không,Không,Có,5G,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Wi-Fi MIMO","A2DP, LE, v5.3","BEIDOU, GALILEO, GLONASS, GPS, iBeacon, QZSS",160.7 x 77.6 x 7.9 mm,240 gr,Kính,Kim loại,IP68,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2796 x 1290-pixel,,,,,,,,,
iPhone 14 Pro Max 256GB - Cũ Đẹp,23.590.000đ,32.990.000đ,6.7 inches,Super Retina XDR OLED,"120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits",120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 48 MP, f/1.8, 24mm, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚
Camera tele: 12 MP, f/2.8, 77mm, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)","Quay phim Cinematic, Chế độ ProRes, Quay phim Dolby Vision HDR","Camera selfie: 12 MP, f/1.9, 23mm, PDAF","4K@24/25/30/60fps, 1080p@25/30/60/120fps, Chống rung điện tử",Apple A16 Bionic 6 nhân,Apple GPU 5 nhân,,256 GB,Không,,"Sạc nhanh 20W
Sạc không dây MagSafe 15W
Sạc không dây Qi 7,5W",Lightning,2 SIM (nano‑SIM và eSIM),iOS 16,Không,Không,Có,5G,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Wi-Fi MIMO","A2DP, LE, v5.3","BEIDOU, GALILEO, GLONASS, GPS, iBeacon, QZSS",160.7 x 77.6 x 7.9 mm,240 gr,Kính,Kim loại,IP68,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2796 x 1290-pixel,,,,,,,,,
Samsung Galaxy Z Fold5 12GB 512GB - Cũ Đẹp,22.790.000đ,44.990.000đ,7.6 inches,Dynamic AMOLED 2X,"Màn hình chính rộng: 7,6 inch, 21.6:18, Dynamic AMOLED 2X, 1-120Hz, Hỗ trợ S Pen
Màn hình ngoài rộng: 6,2 inch, HD+ (2316 x 904), Dynamic AMOLED 2X, 23.1:9, 48-120Hz
Độ sáng tối đa: 1750 nits Mặt kính cảm ứng Chính: Ultra Thin Glass & Phụ: Corning",120Hz,Màn hình gập,"Camera siêu rộng: 12MP F2.2, 123°, 1.12μm
Camera góc rộng: 50MP, F1.8, Dual Pixel AF, OIS, 2.0μm
Camera Tele: 10 MP, F2.4, PDAF, OIS, 1.0μm, zoom 3X, zoom kỹ thuật số 30X",8K 4320p@30fps,"Zoom quang học
Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
FlexCam
Zoom kỹ thuật số","Camera bên ngoài:10 MP, f/2.2
Camera bên trong: 4 MP, F1.8",,Snapdragon 8 Gen 2 for Galaxy (4nm) 8 nhân,Adreno 740,12 GB,512 GB,không hỗ trợ thẻ nhớ,4400 mAh,"Sạc nhanh 25W
Sạc không dây
Sạc ngược không dây",USB Type-C,2 SIM (nano‑SIM và eSIM),Android 13,,,Có,5G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax
Wi-Fi MIMO",v5.3,"GLONASS
GPS
GALILEO
QZSS
BEIDOU","Mở: 154.9 x 129.9 x 6.1mm
Gập: 154.9 x 67.1 x 13.4mm",253 g,Kính,Nhôm,IPX8,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2176 x 1812 pixels (QXGA+),"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","Chạm 2 lần tắt/sáng màn hình
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Âm thanh AKG","Ghi âm mặc định, Ghi âm cuộc gọi",7/2023,,S Pen,,,
