Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Samsung Galaxy S22 5G,,21.990.000 ₫,1 tháng,Không trầy xước,Việt Nam / Trung Quốc,07/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,146 x 70.6 x 7.6,167 g,IP68,Khung máy: Hợp kim nhôm Mặt lưng máy: Kính,Snapdragon 8 Gen 1,Octa-Core,8,2.2 GHz,8 GB,6.1 inch,Dynamic AMOLED 2X,FHD+,1080 x 2340 Pixels,16 Triệu,120 Hz,Gorilla Glass Victus,Điện dung đa điểm,1200 nits,Adreno 730,128 GB,Khoảng 100 GB,Không giới hạn,Không,Triple rear camera,Standard - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,8K 4320p@24fps FullHD 1080p@60fps HD 720p@30fps 4K 2160p@30fps FullHD 1080p@30fps 4K 2160p@60fps FullHD 1080p@240fps - Quay phim FullHD Quay phim 4K,A.I Camera Chống rung quang học (OIS) - A.I Camera Làm đẹp (Beautify) HDR,Single selfie camera,Cảm biến ánh sáng Cảm biến trọng lực,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G 5G,Cổng sạc: Type C,802.11 a/b/g/n/ac/ax,A-GPS,v5.2,NFC,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Que lấy SIM Sách HDSD Cáp,,,,,,,,,,,,,,,,,,,,,
Nokia 3210 4G,1.111.000 ₫,1.590.000 ₫,11 tháng,Trầy xước ít,Trung Quốc,06/2024,11,,,122 x 52 x 13.14 mm,200 g,,Khung máy: Nhựa,Unisoc T107,Đang cập nhật,,1 GHz,64 MB,2.4 inch,,QVGA,320 x 240 Pixels,,,,,,Đang cập nhật,128 MB,,2000,,Single rear camera,,,,,,,,,4G,Type C,,,Có,,2,2 Nano SIM,Pin có thể tháo rời,1450 mAh,No OS,Không,,32 GB,,,,,,,,,,,,,,,,,,,,
Masstel izi T2 4G,264.000 ₫,500.000 ₫,4 tháng,Trầy xước nhiều,Trung Quốc,11/2023,4,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,131.4 x 54 x 13.8,114.3 g,,Mặt kính: Nhựa,Unisoc T107,,,,48 MB,2.4 inch,,QVGA,320 x 240 Pixels,16.7 Triệu,,Kính nhựa,,,,128 MB,,2000 Số,MicroSD,,,,,,,,,,4G,Type C Jack 3.5 mm,,,Có,,2,2 Nano SIM,Lithium-ion,1800 mAh,Không,Không,Pin rời,32 GB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A05 128GB,2.088.900 ₫,3.090.000 ₫,8 tháng,Trầy xước ít,Việt Nam / Trung Quốc,09/2023,8,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,168 x 78.2 x 8.8 mm,195 g,,Nhựa Polycarbonate,Helio G85,,8,,4 GB,6.7 inch,PLS LCD,HD+,720 x 1600 Pixels,,60 Hz,,,,,128 GB,,,MicroSD,Double rear camera,Wide - Ultra Wide,50.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,,Single selfie camera,,,4G,Type C,802.11 a/b/g,GLONASS,Có,,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sách HDSD Que lấy SIM Cáp,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Flip4 5G,6.749.820 ₫,23.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8+ Gen 1,Octa-Core,8,,8 GB,6.7 inch,Dynamic AMOLED 2X,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,128 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,HD 720p@30fps FullHD 1080p@30fps FullHD 1080p@60fps - Quay phim FullHD,Chuyên nghiệp (Pro) Làm đẹp (Beautify) Gắn thẻ ảnh địa lý Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Chống rung quang học (OIS) Chụp góc siêu rộng (Ultrawide) Lấy nét theo pha (PDAF) Tự động lấy nét (AF) Ban đêm (Night Mode) Lấy nét laser HDR Làm đẹp video Xóa phông Ổn định hình ảnh quang học Toàn cảnh (Panorama) Zoom quang học Chụp góc rộng (Wide) ISO Setting Cài đặt cân bằng trắng A.I Camera Flash LED Zoom kỹ thuật số Nhận diện khuôn mặt - Tự động lấy nét (AF) Nhận diện khuôn mặt HDR Nhãn dán (AR Stickers) A.I Camera Làm đẹp (Beautify),Single selfie camera,Cảm biến tiệm cận Cảm biến la bàn Cảm biến vân tay Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,Cổng sạc: Type C,802.11 a/b/g/n,GLONASS GALILEO QZSS A-GPS,v5.2,OTG NFC Radio FM Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Que lấy SIM Sách HDSD Cáp,,82%,LPDDR5,19 inch,21:9,,,,,,,,,,,,,,,,
OPPO Reno11F 5G 8GB Demo,5.562.480 ₫,Not available,5 tháng,Trầy xước ít,Trung Quốc,03/2024,5,,,161.63 x 74.73 x 7.54 mm,177 g,IP65,Khung máy: Nhựa cao cấp,MediaTek Dimensity 7050 5G,Octa-Core,8,2.6 GHz,8 GB,6.7 inch,AMOLED,FHD+,1080 x 2412 Pixels,1 Tỷ,120,Kính cường lực Panda,Điện dung đa điểm,900 nits,Mali-G68 MC4,256 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Wide - Telephoto,64.0 MP - 8.0 MP - 2.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4,,,Single selfie camera,Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến gia tốc Cảm biến la bàn,Mở khóa bằng mật mã Mở khóa vân tay Mật khẩu,5G,Cổng sạc: Type C,Wifi 6,GLONASS BDS GALILEO QZSS GPS,v5.2,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14 (ColorOS 14),Cáp Type C Adapter Ốp lưng Sách HDSD Que lấy SIM,2 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S23 FE 5G,9.116.250 ₫,14.890.000 ₫,6 tháng,Trầy xước ít,Việt Nam,03/2024,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,158 x 76.5 x 8.2,209 g,,Khung máy: Kim loại,Exynos 2200,Octa-Core,8,,8 GB,6.4 inch,FHD+,Dynamic AMOLED 2X,1080 x 2340 Pixels,,,,,1450 nits,Xclipse 920,128 GB,,,,,,,,,,,,,,Type C,,,,,2,,Lithium polymer,4500 mAh,Android,Android 14,,,,,,,,,,,,,,,,,,,,,,
Masstel Izi 15 4G,198.000 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,120 * 50 * 14m,76 g,,Mặt kính: Nhựa,,,,,48 MB,1.77 inch,QQVGA,QQVGA,160 x 128 Pixels,,,Kính nhựa,,,,128 GB,,2000 Số,MicroSD,,,,,,,,,,4G,Jack 3.5 mm Jack 3.5 mm,,,v5.1,,2,2 Nano SIM,Lithium-ion,1000 mAh,Không,Không,Pin rời Sạc Sách HDSD,128 GB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi A3 4GB,2.090.000 ₫,2.990.000 ₫,6 tháng,Trầy xước ít,Trung Quốc,03/2024,6,,,168.4 x 76.3 x 8.3,199 g,,Mặt lưng máy: Kính Mặt lưng máy: Da,MediaTek Helio G36,Octa-Core,8,2.2 GHz,4 GB,6.71 inch,IPS LCD,HD+,720 x 1650 Pixels,,90,Corning Gorilla Glass,,500 nits,PowerVR GE8320,128 GB,Khoảng 108 GB,,MicroSD,Double rear camera,Ống kính góc rộng - Ống kính phụ trợ,8.0 MP - 0.08 MP - 5.0 MP,ƒ/2.0 - ƒ/2.2,HD 1080p@30fps 720p@30fps - 720p@30fps 1080p@30fps,,Single selfie camera,,Mở khoá vân tay cạnh viền Mở khóa khuôn mặt,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz),GPS GLONASS GALILEO BEIDOU,v5.4,Jack 3.5 mm,2,,1 viên Lithium polymer,5000 mAh,Android,Android 14,Sạc Dây sạc Sách HDSD Que lấy SIM,1 TB,,,,,268 ppi,1500:1,,,,,,,,,,,,,,
Xiaomi Redmi Note 13 Pro 8GB,5.142.060 ₫,7.290.000 ₫,7 tháng,Trầy xước ít,Trung Quốc,03/2024,7,,,161.4 x 74.95 x 7.98,188 g,IP54,Mặt lưng máy: Nhựa,MediaTek Helio G99-Ultra,,,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,Gorilla Glass 5,,1300 nits,Mali-G57 MC2,128 GB,Khoảng 225 GB,,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,200.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/1.65 - ƒ/2.2 - ƒ/2.4,,Chống rung quang học (OIS),,Hồng ngoại,Mở khóa vân tay dưới màn hình,4G,Cổng sạc: Type C,,,v5.2,Slot SIM/thẻ nhớ dùng chung NFC,2,,,5000 mAh,Android,Android 13.0,Cáp Type C Sạc Sách HDSD Ốp lưng Que lấy SIM,1 TB,,LPDDR4X,,,,5.000.000 : 1,100% DCI-P3,2.24 µm,,,,,,,,,,,,
