brand,phone_name,condition1,oldprice,newprice,ram,rom,condition2
,iPhone 15 Pro Max,cũ đẹp 99%,25.490.000 ₫,29.990.000 ₫,,,
,iPhone 15 Pro,cũ đẹp 99%,20.190.000 ₫,26.990.000 ₫,,,
,iPhone 15 Plus,Cũ đẹp 99%,18.290.000 ₫,23.990.000 ₫,,,
Apple,iPhone 14 Pro Max,cũ đẹp 99%,21.290.000 ₫,33.990.000 ₫,6GB,128GB,new
Apple,iPhone 14 Pro Max,cũ đẹp 99%,22.290.000 ₫,33.990.000 ₫,6GB,128GB,new
,iPhone 14 Pro,cũ đẹp 99%,17.990.000 ₫,31.990.000 ₫,6GB,128GB,new
,iPhone 14 Plus,cũ đẹp 99%,14.490.000 ₫,31.990.000 ₫,6 GB,256 GB,new
,iPhone 14,Cũ đẹp 99%,12.490.000 ₫,17.990.000 ₫,6 GB,128GB,new
,iPhone 13 Pro Max,Cũ đẹp 99%,15.990.000 ₫,27.490.000 ₫,,128 GB,used
,iPhone 13 Pro,cũ đẹp 99%,14.190.000 ₫,20.590.000 ₫,,128 GB,used
,iPhone 12 Pro Max,cũ đẹp 99%,13.490.000 ₫,Liên hệ,6 GB,128 GB,"used, Used"
Apple,iPhone 12 Pro Max,cũ đẹp 99%,14.190.000 ₫,33.990.000 ₫,6 GB,256 GB,"used, Used"
,iPhone 12 Pro,Cũ đẹp 99%,10.290.000 ₫,32.990.000 ₫,6 GB,128 GB,used
,iPhone 12,cũ đẹp 99%,7.990.000 ₫,24.990.000 ₫,4 GB,64 GB,"used, Đã qua sử dụng"
,Samsung Galaxy S24,Cũ Đẹp 99%,11.990.000 ₫,22.990.000 ₫,8GB,128GB,New
,iPhone 11 Pro Max,cũ đẹp 99%,9.290.000 ₫,20.400.000 ₫,4 GB,64 GB,used
,Samsung Galaxy S24 Plus,Cũ Đẹp 99%,15.790.000 ₫,26.990.000 ₫,12GB,256GB,New
,iPhone 11 Pro,cũ đẹp 99%,7.590.000 ₫,17.990.000 ₫,4 GB,64 GB,used
,iPhone 11,cũ đẹp 99%,6.490.000 ₫,Liên hệ,4 GB,64 GB,used
Samsung,Samsung Galaxy S22 Ultra,Cũ đẹp 99%,11.490.000 ₫,30.990.000 ₫,8Gb,128 GB,New
,iPhone 11 Pro Max,cũ đẹp 99%,10.290.000 ₫,23.990.000 ₫,4 GB,256 GB,used
Samsung,Samsung Galaxy S23,Cũ Đẹp 99%,9.690.000 ₫,24.990.000 ₫,8Gb,128 GB,new
,iPhone Xs MAX,cũ đẹp 99%,7.290.000 ₫,12.990.000 ₫,4 GB,64 GB,used
,Samsung Galaxy S23 FE Cũ Đẹp,,8.290.000 ₫,Liên hệ,8GB,128GB,
Apple,iPhone Xs,cũ đẹp 99%,5.290.000 ₫,Liên hệ,4GB,64 GB,used
,iPhone 13,Cũ đẹp 99%,11.190.000 ₫,24.490.000 ₫,,128 GB,new
Apple,iPhone XR,cũ đẹp 99%,5.190.000 ₫,11.190.000 ₫,3 GB,64 GB,used
,Samsung Galaxy S21 Ultra,Cũ đẹp 99%,8.290.000 ₫,Liên hệ,12 GB,128GB,used
,Samsung Galaxy S21,Cũ đẹp 99%,5.890.000 ₫,Liên hệ,8 GB,128 GB,used
,Samsung Galaxy S21 Plus,Cũ đẹp 99%,6.790.000 ₫,25.990.000 ₫,8 GB,128 GB,used
Apple,iPhone 14 Pro Max Lock,,16.590.000 ₫,33.990.000 ₫,6GB,128GB,new
Apple,iPhone 8,cũ đẹp 99%,3.190.000 ₫,6.490.000 ₫,2GB,64 GB,used
Apple,iPhone 8,cũ đẹp 99%,3.390.000 ₫,6.490.000 ₫,2GB,64 GB,used
Apple,iPhone 8 Plus,cũ đẹp 99%,4.190.000 ₫,8.490.000 ₫,3 GB,64 GB,used
Apple,iPhone 12,cũ đẹp 99%,8.590.000 ₫,19.990.000 ₫,4 GB,128GB,used
,iPhone 11 Pro,cũ đẹp 99%,8.490.000 ₫,18.990.000 ₫,4 GB,256 GB,used
,iPhone 13 Lock,Cũ đẹp 99%,8.390.000 ₫,24.490.000 ₫,,128 GB,new
Apple,iPhone 11,cũ đẹp 99%,7.490.000 ₫,15.790.000 ₫,4 GB,128 GB,used
Apple,iPhone Xs,cũ đẹp 99%,5.690.000 ₫,7.490.000 ₫,4GB,256 GB,used
Samsung,Samsung Galaxy S21 FE,Cũ đẹp 99%,5.190.000 ₫,16.990.000 ₫,6GB,128GB,"new, New"
Apple,iPhone Xs MAX,cũ đẹp 99%,7.990.000 ₫,15.390.000 ₫,4 GB,256 GB,used
,Apple iPhone 7,cũ 99%,2.590.000 ₫,4.290.000 ₫,2GB,32 GB,
,iPhone 13 Pro,cũ đẹp 99%,14.590.000 ₫,20.590.000 ₫,,256 GB,used
Apple,iPhone XR,cũ đẹp 99%,5.790.000 ₫,11.490.000 ₫,3 GB,128 GB,used
Apple,iPhone X,cũ đẹp 99%,5.390.000 ₫,12.190.000 ₫,3 GB,256 GB,Đã qua sử dụng
,iPhone 13 Pro Max,Cũ đẹp 99%,16.990.000 ₫,34.990.000 ₫,,128 GB,used
,iPhone 13,Cũ đẹp 99%,12.790.000 ₫,24.490.000 ₫,,128 GB,new
,iPhone 14 Lock,,9.990.000 ₫,21.490.000 ₫,,,
,iPhone 14 Plus,cũ đẹp 99%,15.690.000 ₫,31.990.000 ₫,6 GB,256 GB,new
,iPhone 15 Plus,Cũ đẹp 99%,20.390.000 ₫,23.990.000 ₫,,,
Apple,Apple iPhone 7 plus,cũ 99%,3.690.000 ₫,5.990.000 ₫,3 GB,32 GB,Đã qua sử dụng
Apple,Apple iPhone Xs,cũ 99%,6.390.000 ₫,13.490.000 ₫,4GB,512GB,Đã qua sử dụng
,Samsung Galaxy S20 FE,cũ,4.690.000 ₫,Liên hệ,6GB,128GB,
,iPhone 15,cũ đẹp 99%,15.390.000 ₫,20.990.000 ₫,,,
,iPhone 15,cũ đẹp 99%,16.790.000 ₫,20.990.000 ₫,,,
,Samsung Galaxy Z Flip5,Cũ đẹp 99%,10.490.000 ₫,25.990.000 ₫,8Gb,256 GB,new
Samsung,Samsung Galaxy S22,cũ đẹp 99%,6.990.000 ₫,21.990.000 ₫,8Gb,128 GB,New
