phone_name,condition1,oldprice,ram,rom
iPhone 13 Pro Max,Cũ đẹp,18.390.000 ₫,6 GB,256 GB
iPhone 13,Cũ đẹp,11.990.000 ₫,4 GB,128 GB
iPhone Xs Max,Cũ trầy xước,7.490.000 ₫,,256 GB
iPhone 11,Cũ trầy xước,7.490.000 ₫,4 GB,128 GB
iPhone 13 Pro Max,Cũ đẹp,17.290.000 ₫,6 GB,256 GB
iPhone X,Cũ đẹp,5.890.000 ₫,,256 GB
iPhone 12,Cũ trầy xước,9.290.000 ₫,,128 GB
iPhone 11 Pro,Cũ đẹp,8.290.000 ₫,4 GB,64 GB
iPhone 13 Pro Max,Cũ trầy xước,18.890.000 ₫,6 GB,512 GB
iPhone 11,Cũ đẹp,6.990.000 ₫,4 GB,64 GB
iPhone 12 Pro Max,Cũ trầy xước,14.290.000 ₫,,128 GB
iPhone 11,Cũ đẹp,7.990.000 ₫,4 GB,128 GB
iPhone 13,Cũ đẹp,13.590.000 ₫,4 GB,256 GB
iPhone 11 Pro,Cũ đẹp,9.890.000 ₫,4 GB,256 GB
iPhone 11 Pro,Cũ trầy xước,7.690.000 ₫,4 GB,64 GB
iPhone 12 Pro,Cũ đẹp,12.090.000 ₫,,128 GB
iPhone Xs,Cũ đẹp,5.790.000 ₫,,64 GB
iPhone X,Cũ đẹp,5.190.000 ₫,,64 GB
iPhone 11 Pro Max,Cũ đẹp,10.390.000 ₫,4 GB,64 GB
iPhone 14 Pro Max,Cũ đẹp,22.590.000 ₫,6 GB,128 GB
iPhone XR,Cũ đẹp,5.590.000 ₫,,64 GB
iPhone 11,Cũ trầy xước,6.490.000 ₫,4 GB,64 GB
OPPO Reno11 F,Cũ đẹp,5.990.000 ₫,8 GB,256 GB
iPhone 11 Pro Max,Cũ đẹp,11.890.000 ₫,4 GB,256 GB
iPhone 15 Plus,Cũ đẹp,19.390.000 ₫,,128 GB
iPhone Xs Max,Cũ đẹp,7.190.000 ₫,,64 GB
iPhone Xs Max,Cũ trầy xước,6.590.000 ₫,,64 GB
iPhone 15 Pro Max,Cũ đẹp,26.690.000 ₫,,256 GB
iPhone SE 2022,Cũ Đẹp,8.490.000 ₫,4 GB,256 GB
iPhone 8 Plus,cũ đẹp,4.590.000 ₫,3 GB,64 GB
Samsung Galaxy S21 Ultra,Cũ đẹp,8.990.000 ₫,8 GB,128 GB
iPhone 14 Pro,Cũ xước cấn,17.390.000 ₫,,128 GB
iPhone 15,Cũ đẹp,16.790.000 ₫,,128 GB
iPhone 12 Pro Max,Cũ trầy xước,15.290.000 ₫,,256 GB
Nubia Neo 2,Đã kích hoạt,3.790.000 ₫,,
Xiaomi Redmi Note 13 Pro Plus,Cũ đẹp,7.090.000 ₫,8 GB,256 GB
iPhone SE 2022,cũ trầy xước,7.390.000 ₫,4 GB,128 GB
iPhone 14 Pro,Cũ đẹp,19.390.000 ₫,,128 GB
iPhone 6s,cũ đẹp,2.390.000 ₫,,64 GB
iPhone Xs Max,Cũ đẹp,8.090.000 ₫,,256 GB
iPhone 12 Pro Max,Cũ đẹp,15.290.000 ₫,,128 GB
iPhone 11,Cũ đẹp,8.990.000 ₫,4 GB,256 GB
iPhone 13 Pro,Cũ đẹp,15.590.000 ₫,6 GB,128 GB
iPhone 12,Cũ đẹp,9.990.000 ₫,,128 GB
iPhone 7,Cũ đẹp,3.090.000 ₫,,128 GB
iPhone 12,Cũ trầy xước,8.290.000 ₫,,64 GB
iPhone 12 Pro Max,Cũ trầy xước,15.790.000 ₫,6 GB,512 GB
Xiaomi Redmi Note 13 Pro,Cũ đẹp,5.390.000 ₫,8 GB,256 GB
iPhone 15 Pro Max,Cũ đẹp,29.990.000 ₫,,512 GB
