phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
Samsung Galaxy S22,,Không trầy xước,,21.990.000 ₫,07/2022,8 GB,128 GB
Nokia 3210,,Trầy xước ít,1.111.000 ₫,1.590.000 ₫,06/2024,64 MB,128 MB
Masstel izi T2,,Trầy xước nhiều,264.000 ₫,500.000 ₫,11/2023,48 MB,128 MB
Samsung Galaxy A05,,Trầy xước ít,2.088.900 ₫,3.090.000 ₫,09/2023,4 GB,128 GB
Samsung Galaxy Z Flip4,,Trầy xước ít,6.749.820 ₫,23.990.000 ₫,08/2022,8 GB,128 GB
OPPO Reno11F,,Trầy xước ít,5.562.480 ₫,Not available,03/2024,8 GB,256 GB
Samsung Galaxy S23 FE,,Trầy xước ít,9.116.250 ₫,14.890.000 ₫,03/2024,8 GB,128 GB
Masstel Izi 15,,Trầy xước ít,198.000 ₫,Not available,2023,48 MB,128 GB
Xiaomi Redmi A3,,Trầy xước ít,2.090.000 ₫,2.990.000 ₫,03/2024,4 GB,128 GB
Xiaomi Redmi Note 13 Pro,,Trầy xước ít,5.142.060 ₫,7.290.000 ₫,03/2024,8 GB,128 GB
Samsung Galaxy A15,,Trầy xước ít,3.167.560 ₫,Not available,12/2023,8 GB,128 GB
OPPO A17k,64GB,Trầy xước ít,1.839.200 ₫,3.290.000 ₫,10/2022,3 GB,64 GB
Masstel Fami 60S,,Trầy xước ít,385.000 ₫,700.000 ₫,02/2024,,128 MB
OPPO A18,,Trầy xước ít,2.596.000 ₫,3.290.000 ₫,11/2023,4 GB,64 GB
Honor X9b,,Trầy xước ít,5.724.180 ₫,8.990.000 ₫,01/2024,12 GB,256 GB
Samsung Galaxy A05s,,Trầy xước ít,2.475.000 ₫,3.990.000 ₫,09/2023,4 GB,128 GB
OPPO A18,,Trầy xước ít,2.596.000 ₫,3.290.000 ₫,11/2023,4 GB,64 GB
Samsung Galaxy S22,,Trầy xước ít,7.300.480 ₫,21.990.000 ₫,03/2022,8 GB,128 GB
Xiaomi Redmi Note 12,,Trầy xước ít,2.596.000 ₫,Not available,,,128 GB
Realme C51,,Trầy xước nhiều,2.465.430 ₫,4.490.000 ₫,01/2023,6 GB,256 GB
Điện thoại OPPO A58,,Trầy xước ít,3.647.050 ₫,Not available,07/2023,6 GB,128 GB
Samsung Galaxy Z Flip5,,Trầy xước ít,10.099.540 ₫,25.990.000 ₫,07/2023,8 GB,256 GB
Samsung Galaxy S24 Plus,,Trầy xước ít,15.496.360 ₫,Not available,01/2024,12 GB,256 GB
Điện thoại di động Samsung Galaxy Z Fold5,F946B,Trầy xước ít,19.501.570 ₫,Not available,08/2023,12 GB,256 GB
Điện thoại di động Samsung Galaxy Z Flip5,F731B,Trầy xước ít,9.751.280 ₫,Not available,08/2028,8 GB,128 GB
Xiaomi Redmi Note 13 Pro,,Trầy xước ít,5.142.060 ₫,7.290.000 ₫,03/2024,8 GB,128 GB
OPPO Find N2 Flip,,Trầy xước ít,8.157.600 ₫,Not available,03/2023,8 GB,256 GB
Honor X9b,,Trầy xước ít,5.724.180 ₫,8.990.000 ₫,01/2024,12 GB,256 GB
Samsung Galaxy S24 Ultra,,Trầy xước ít,22.517.000 ₫,33.990.000 ₫,01/2024,12 GB,256 GB
Samsung Galaxy Z Flip4,,Trầy xước ít,6.749.820 ₫,23.990.000 ₫,08/2022,8 GB,128 GB
