brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,iPhone 14 Pro Max,Cũ Trầy Xước,,21.590.000đ,29.990.000đ,,6 GB,128 GB
,Samsung Galaxy Z Fold5,Đã Kích Hoạt,,23.290.000đ,40.990.000đ,,12 GB,256 GB
,Samsung Galaxy Z Flip5,Đã Kích Hoạt,,12.590.000đ,25.990.000đ,,8 GB,256 GB
,iPhone 15 Pro Max,Cũ Đẹp,,26.690.000đ,34.990.000đ,,,256 GB
,iPhone 14 Pro Max,Cũ Đẹp,,22.590.000đ,29.990.000đ,,6 GB,128 GB
,Samsung Galaxy Z Flip5,Cũ Đẹp,,12.690.000đ,,,8 GB,512 GB
,iPhone 13 Pro Max,Cũ đẹp,,17.290.000đ,31.990.000đ,,6 GB,256 GB
,iPhone 14 Pro Max,Cũ Trầy Xước,,22.590.000đ,32.990.000đ,,,256 GB
,iPhone 14 Pro Max,Cũ Đẹp,,23.590.000đ,32.990.000đ,,,256 GB
,Samsung Galaxy Z Fold5,Cũ Đẹp,,22.790.000đ,44.990.000đ,,12 GB,512 GB
,OPPO Reno10,Cũ Đẹp,,6.490.000đ,10.990.000đ,,8 GB,256 GB
,iPhone 12 Pro Max,Cũ Trầy Xước,,14.290.000đ,28.990.000đ,,,128 GB
,OPPO Reno8 T,Cũ Đẹp,,4.790.000đ,,,8 GB,128 GB
,iPhone 13 Pro Max,Cũ trầy xước,,16.290.000đ,31.990.000đ,,6 GB,128 GB
,iPhone 14 Pro Max,Cũ Xước Cấn,,20.590.000đ,29.990.000đ,,6 GB,128 GB
,Samsung Galaxy M34,Đã Kích Hoạt,,4.790.000đ,7.990.000đ,,8 GB,128 GB
,Điện thoại Sony Xperia 1V,Cũ Đẹp,,20.590.000đ,35.990.000đ,,12 GB,256 GB
,iPhone 11,Cũ Đẹp,,6.990.000đ,11.990.000đ,,4 GB,64 GB
,iPhone 13 Pro,Cũ đẹp,,15.590.000đ,23.990.000đ,,6 GB,128 GB
,Xiaomi Redmi Note 13 Pro,Đã Kích Hoạt,,5.290.000đ,7.290.000đ,,8 GB,128 GB
,iPhone 13 Pro,Cũ đẹp,,15.590.000đ,23.990.000đ,,6 GB,128 GB
,iPhone 11 Pro,cũ đẹp,,8.290.000đ,25.000.000đ,,,
,iPhone 8 Plus,cũ đẹp,,4.590.000đ,15.000.000đ,,3 GB,64 GB
,iPhone 14 Pro,Cũ Đẹp,,20.390.000đ,29.990.000đ,,6 GB,256 GB
,iPhone 11,Cũ Đẹp,,7.990.000đ,13.990.000đ,,4 GB,128 GB
,iPhone 14 Plus,Cũ Đẹp,,16.090.000đ,24.990.000đ,,6 GB,128 GB
,iPhone 15 Pro,Đã Kích Hoạt,,22.890.000đ,28.990.000đ,,,128 GB
