brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,iPhone 14 Pro Max,21.590.000đ,29.990.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy Z Fold5,23.290.000đ,40.990.000đ,,12 GB,256 GB,a_new 
,Samsung Galaxy Z Flip5,12.590.000đ,25.990.000đ,,8 GB,256 GB,a_new 
,iPhone 15 Pro Max,26.690.000đ,34.990.000đ,,,256 GB,a_like_new 
,iPhone 14 Pro Max,22.590.000đ,29.990.000đ,,6 GB,128 GB,a_like_new 
,Samsung Galaxy Z Flip5,12.690.000đ,,,8 GB,512 GB,a_like_new 
,iPhone 13 Pro Max,17.290.000đ,31.990.000đ,,6 GB,256 GB,a_like_new 
,iPhone 14 Pro Max,22.590.000đ,32.990.000đ,,,256 GB,a_old 
,iPhone 14 Pro Max,23.590.000đ,32.990.000đ,,,256 GB,a_like_new 
,Samsung Galaxy Z Fold5,22.790.000đ,44.990.000đ,,12 GB,512 GB,a_like_new 
,OPPO Reno10,6.490.000đ,10.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 12 Pro Max,14.290.000đ,28.990.000đ,,,128 GB,a_old 
,OPPO Reno8 T,4.790.000đ,,,8 GB,128 GB,a_like_new 
,iPhone 13 Pro Max,16.290.000đ,31.990.000đ,,6 GB,128 GB,a_old 
,iPhone 14 Pro Max,20.590.000đ,29.990.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy M34,4.790.000đ,7.990.000đ,,8 GB,128 GB,a_new 
,Điện thoại Sony Xperia 1V,20.590.000đ,35.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 11,6.990.000đ,11.990.000đ,,4 GB,64 GB,a_like_new 
,iPhone 13 Pro,15.590.000đ,23.990.000đ,,6 GB,128 GB,a_like_new 
,Xiaomi Redmi Note 13 Pro,5.290.000đ,7.290.000đ,,8 GB,128 GB,a_new 
,iPhone 13 Pro,15.590.000đ,23.990.000đ,,6 GB,128 GB,a_like_new 
,iPhone 11 Pro,8.290.000đ,25.000.000đ,,,,a_like_new 
,iPhone 8 Plus,4.590.000đ,15.000.000đ,,3 GB,64 GB,a_like_new 
,iPhone 14 Pro,20.390.000đ,29.990.000đ,,6 GB,256 GB,a_like_new 
,iPhone 11,7.990.000đ,13.990.000đ,,4 GB,128 GB,a_like_new 
,iPhone 14 Plus,16.090.000đ,24.990.000đ,,6 GB,128 GB,a_like_new 
,iPhone 15 Pro,22.890.000đ,28.990.000đ,,,128 GB,a_new 
,iPhone 13 Pro Max,16.290.000đ,31.990.000đ,,6 GB,128 GB,a_old 
,iPhone 13,13.590.000đ,21.990.000đ,,4 GB,256 GB,a_like_new 
,Apple iPhone 7 Plus,4.890.000đ,27.590.000đ,,,256 GB,a_like_new 
,iPhone 15 Pro,21.890.000đ,28.990.000đ,,,128 GB,a_like_new 
,iPhone 14 Pro Max,20.590.000đ,29.990.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy S24 Ultra,21.790.000đ,33.990.000đ,,12 GB,256 GB,a_like_new 
,Xiaomi POCO X6 Pro,7.090.000đ,9.990.000đ,,8 GB,256 GB,a_new 
,iPhone 15 Plus,19.390.000đ,25.990.000đ,,,128 GB,a_like_new 
,Samsung Galaxy A55,7.790.000đ,9.990.000đ,,8 GB,128 GB,a_new 
,Xiaomi Poco M6,3.190.000đ,,,6 GB,128 GB,a_new 
,Xiaomi 13,11.590.000đ,22.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 12,8.990.000đ,,,,64 GB,a_like_new 
,iPhone 14,14.290.000đ,22.990.000đ,,6 GB,128 GB,a_like_new 
,Samsung Galaxy Z Fold5,21.790.000đ,40.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 12 Pro,13.090.000đ,28.990.000đ,,,256 GB,a_like_new 
,Samsung Galaxy Z Flip5,12.590.000đ,25.990.000đ,,8 GB,256 GB,a_new 
,Xiaomi Redmi Note 13 Pro,5.290.000đ,7.290.000đ,,8 GB,128 GB,a_new 
,Samsung Galaxy Z Fold5,22.790.000đ,44.990.000đ,,12 GB,512 GB,a_like_new 
,Samsung Galaxy S22 Ultra,13.790.000đ,33.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 15 Plus,22.590.000đ,28.990.000đ,,,256 GB,a_new 
,iPhone 14 Pro Max,24.590.000đ,38.990.000đ,,,512 GB,a_old 
,iPhone 14 Pro,18.390.000đ,27.990.000đ,,,128 GB,a_old 
,iPhone 11,6.490.000đ,11.990.000đ,,4 GB,64 GB,a_old 
,Xiaomi Redmi Note 12,2.990.000đ,4.990.000đ,,4 GB,128 GB,a_like_new 
,iPhone 14 Pro Max,22.590.000đ,32.990.000đ,,,256 GB,a_old 
,iPhone 15 Plus,20.390.000đ,25.990.000đ,,,128 GB,a_new 
,iPhone 12,9.990.000đ,17.990.000đ,,,128 GB,a_like_new 
,iPhone 12 mini,8.690.000đ,,,,128 GB,a_like_new 
,iPhone XS Max,6.590.000đ,25.000.000đ,,,64 GB,a_old 
,Samsung Galaxy S23,11.090.000đ,22.990.000đ,,8 GB,128 GB,a_new 
,Samsung Galaxy Z Fold5,23.290.000đ,40.990.000đ,,12 GB,256 GB,a_new 
,Samsung Galaxy S22,8.490.000đ,21.990.000đ,,8 GB,128 GB,a_like_new 
,iPhone 11,7.790.000đ,11.990.000đ,,4 GB,64 GB,a_new 
,Xiaomi Redmi Note 12,2.690.000đ,4.990.000đ,,4 GB,128 GB,a_old 
,Nubia Neo 2,3.990.000đ,5.490.000đ,,8 GB,256 GB,a_new 
,iPhone X,5.890.000đ,,,,256 GB,a_like_new 
,Xiaomi Redmi Note 13 Pro Plus,7.890.000đ,10.990.000đ,,8 GB,256 GB,a_new 
,OPPO Reno10,6.490.000đ,10.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 12 Pro Max,16.790.000đ,37.990.000đ,,6 GB,512 GB,a_like_new 
,Samsung Galaxy S23,10.690.000đ,22.990.000đ,,8 GB,128 GB,a_like_new 
,OPPO A58,3.590.000đ,4.990.000đ,,6 GB,128 GB,a_new 
,Samsung Galaxy A05,2.390.000đ,3.090.000đ,,4 GB,128 GB,a_new 
,Samsung Galaxy Z Flip5,11.390.000đ,25.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 11 Pro,9.890.000đ,28.000.000đ,,4 GB,256 GB,a_like_new 
,Xiaomi 13 Pro,15.590.000đ,29.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 15,20.590.000đ,25.990.000đ,,6 GB,256 GB,a_new 
,iPhone 8,3.290.000đ,,,,64 GB,a_like_new 
,Xiaomi 12 Pro,7.990.000đ,27.990.000đ,,12 GB,256 GB,a_old 
,iPhone 13 mini,10.790.000đ,21.990.000đ,,4 GB,128 GB,a_like_new 
,iPhone 11,7.490.000đ,13.990.000đ,,4 GB,128 GB,a_old 
,Samsung Galaxy M34,4.790.000đ,7.990.000đ,,8 GB,128 GB,a_new 
,iPhone 12 Pro Max,15.290.000đ,31.990.000đ,,,256 GB,a_old 
,Xiaomi Redmi 14C,2.590.000đ,3.290.000đ,,4 GB,128 GB,a_new 
,iPhone 13 VN/A,12.990.000đ,18.990.000đ,,4 GB,128 GB,a_new 
,Samsung Galaxy Note 10+,9.490.000đ,26.990.000đ,,12 GB,256 GB,a_like_new 
,Xiaomi Redmi Note 13,3.690.000đ,,,8 GB,128 GB,a_like_new 
,iPhone XS,5.290.000đ,22.000.000đ,,,64 GB,a_old 
,Samsung Galaxy S24 Ultra,23.290.000đ,33.990.000đ,,12 GB,256 GB,a_new 
,iPhone 15,17.790.000đ,22.990.000đ,,,128 GB,a_new 
,Xiaomi 14 Ultra,24.090.000đ,32.990.000đ,,16 GB,512 GB,a_new 
,iPhone 15 Pro,24.390.000đ,31.990.000đ,,,256 GB,a_like_new 
